Children_Under_18,Total_Charges,Republican_Governor,Higher_Education,Age_18_49,Male,US_Native,Married,Dis_Dress_yes,Dis_Hearing_yes,Dis_Visual_yes,Dis_Other_yes,Dis_Physical_yes,Father_us,Mother_us,Parent1_Live_yes,Parent2_Live_yes,Hispanic_yes,Race_white,Armed_Forces_yes,Same_Address_yes,Metropolitan_yes,Health_Coverage_yes,Unemployed
0,882,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
0,882,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
2,882,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
0,882,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
3,882,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0
0,882,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0
0,882,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1
1,882,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0
1,882,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
2,882,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1
0,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1
0,882,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0
0,882,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
0,882,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0
2,882,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1
1,882,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
1,882,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
0,882,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1
2,882,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1
1,882,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
0,882,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
2,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0
0,882,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0
1,882,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0
1,882,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0
0,882,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1
0,882,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1
0,882,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0
0,882,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
0,882,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1
2,882,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1
0,882,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
0,882,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
0,882,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
1,882,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
0,882,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0
3,882,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0
0,882,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
0,882,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0
3,882,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0,882,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
1,882,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0
0,882,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0
0,882,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0
0,882,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
0,882,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0
0,882,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1
0,882,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1
0,882,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1
0,882,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1
1,882,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1
0,882,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
2,882,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
1,882,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1
0,882,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
0,882,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1
0,882,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
0,882,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
2,882,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
1,882,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0
2,882,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0
0,882,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1
0,882,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2,882,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1
0,882,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
0,882,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
1,882,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0
0,882,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
0,882,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1
0,882,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1
0,882,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0
0,882,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1
2,882,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1
0,882,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1
0,882,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1
0,882,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1
0,882,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1
0,882,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
1,882,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1
0,882,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0
1,882,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0
0,882,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4,882,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1
0,882,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
0,882,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1
0,882,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
0,882,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0
1,882,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0
0,882,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0
0,882,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
1,882,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1
0,882,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1
2,882,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1
0,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0
0,882,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
0,882,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
1,882,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1
1,882,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1
0,882,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1
0,882,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1
0,882,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0,882,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
0,882,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
0,882,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
0,882,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1
0,882,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0
0,882,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0
0,882,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,882,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1
0,882,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0
0,882,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1
2,882,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1
0,882,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1
0,882,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
0,882,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
1,882,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1
1,882,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1
0,882,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
0,882,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
0,882,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1
2,882,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
0,882,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1
0,882,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1
0,882,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0
1,882,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0
1,882,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0
0,882,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
0,882,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
0,882,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1
0,882,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
2,882,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
0,882,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1
0,882,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0
0,882,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1
0,882,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1
0,882,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0
0,882,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
0,882,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0
